review_count,rating,price,categories,is_closed
175,4.5,2,cocktailbars,0
315,4.5,2,georgian,0
411,4.5,2,bakeries,0
107,4.5,1,foodtrucks,0
67,5.0,1,sandwiches,0
313,4.5,4,newamerican,0
112,4.5,2,juicebars,0
843,4.5,2,french,0
266,4.5,2,thai,0
209,4.5,4,steak,0
87,4.5,2,pizza,0
404,4.5,1,moroccan,0
271,4.5,2,gelato,0
295,4.5,1,bakeries,0
601,4.5,2,cajun,0
133,4.5,2,szechuan,0
74,4.5,1,halal,0
436,4.5,4,lounges,0
655,4.5,4,sushi,0
582,4.5,2,polish,0
360,4.5,3,tradamerican,0
179,4.5,2,italian,0
193,4.5,1,foodstands,0
811,4.5,2,cuban,0
528,4.5,4,japanese,0
783,4.5,3,chinese,0
2271,4.5,2,italian,0
66,5.0,3,newamerican,0
46,5.0,1,coffee,0
531,4.5,2,seafood,0
647,4.5,2,venues,0
578,4.5,3,mexican,0
438,4.5,2,thai,0
105,4.5,1,bakeries,0
54,5.0,2,pizza,0
52,5.0,2,newamerican,0
354,4.5,3,steak,0
3010,4.5,4,steak,0
213,4.5,2,newamerican,0
355,4.5,2,vietnamese,0
298,4.5,1,delis,0
108,4.5,2,thai,0
305,4.5,2,vegetarian,0
89,4.5,2,italian,0
174,4.5,2,cafes,0
338,4.5,2,italian,0
820,4.5,3,steak,0
549,4.5,2,seafood,0
80,4.5,1,sandwiches,0
415,4.5,2,juicebars,0
352,4.5,2,sushi,0
380,4.5,2,bakeries,0
9512,4.0,1,foodstands,0
159,4.5,2,hotdogs,0
365,4.5,4,newamerican,0
265,4.5,1,pizza,0
162,4.5,2,szechuan,0
259,4.5,2,mexican,0
199,4.5,3,french,0
97,4.5,2,italian,0
314,4.5,2,coffee,0
83,4.5,2,pizza,0
146,4.5,1,vegetarian,0
1758,4.5,2,cocktailbars,0
772,4.5,2,sushi,0
149,4.5,1,pizza,0
302,4.5,2,italian,0
1161,4.5,2,seafood,0
88,4.5,2,butcher,0
72,4.5,2,wine_bars,0
271,4.5,2,dominican,0
147,4.5,2,french,0
530,4.5,2,japanese,0
285,4.5,2,korean,0
1605,4.5,2,burgers,0
266,4.5,1,cafes,0
167,4.5,2,cafes,0
153,4.5,2,noodles,0
103,4.5,1,vegetarian,0
193,4.5,2,sushi,0
658,4.5,1,coffee,0
379,4.5,3,korean,0
129,4.5,2,sushi,0
137,4.5,2,breakfast_brunch,0
1035,4.5,2,indpak,0
633,4.5,1,dimsum,0
1603,4.5,3,french,0
256,4.5,3,pizza,0
577,4.5,2,bbq,0
135,4.5,2,sushi,0
216,4.5,2,indpak,0
443,4.5,2,thai,0
349,4.5,2,beerbar,0
94,4.5,1,cantonese,0
149,4.5,1,foodtrucks,0
122,4.5,2,szechuan,0
217,4.5,3,italian,0
1030,4.5,2,bakeries,0
594,4.5,3,italian,0
227,4.5,2,italian,0
120,4.5,2,thai,0
750,4.5,2,pubs,0
427,4.5,2,pizza,0
329,4.5,1,bbq,0
71,4.5,1,gelato,0
1015,4.5,4,newamerican,0
85,4.5,1,cafes,0
491,4.5,1,sandwiches,0
756,4.5,1,italian,0
137,4.5,1,mexican,0
180,4.5,2,mediterranean,0
294,4.5,2,coffee,0
291,4.5,2,ramen,0
291,4.5,2,mexican,0
220,4.5,2,newamerican,0
121,4.5,1,coffee,0
1120,4.5,2,foodstands,0
76,4.5,3,mediterranean,0
108,4.5,2,korean,0
76,4.5,2,cafes,0
2299,4.5,2,pizza,0
202,4.5,1,icecream,0
68,4.5,2,cafes,0
52,5.0,2,butcher,0
74,4.5,2,african,0
197,4.5,2,bakeries,0
170,4.5,2,colombian,0
65,4.5,2,coffee,0
46,5.0,1,gourmet,0
401,4.5,2,beerbar,0
1174,4.5,2,cocktailbars,0
195,4.5,2,venezuelan,0
336,4.5,3,newamerican,0
228,4.5,1,lebanese,0
169,4.5,2,japanese,0
70,4.5,1,juicebars,0
219,4.5,2,chinese,0
197,4.5,2,salvadoran,0
2022,4.5,2,korean,0
4256,4.0,2,comfortfood,0
302,4.5,1,pizza,0
158,4.5,2,mediterranean,0
92,4.5,1,cafes,0
567,4.5,2,japanese,0
383,4.5,2,vegan,0
541,4.5,2,pizza,0
1011,4.5,2,taiwanese,0
124,4.5,2,kebab,0
247,4.5,2,austrian,0
96,4.5,2,cafes,0
1109,4.5,2,italian,0
440,4.5,2,pizza,0
491,4.5,2,indpak,0
243,4.5,3,argentine,0
1924,4.5,2,cajun,0
848,4.5,2,coffee,0
452,4.5,2,brazilian,0
1879,4.5,4,french,0
137,4.5,1,ukrainian,0
176,4.5,1,chinese,0
37,5.0,1,cafes,0
51,5.0,1,delis,0
143,4.5,1,pizza,0
455,4.5,2,bars,0
199,4.5,2,indpak,0
91,4.5,1,coffee,0
49,5.0,1,delis,0
91,4.5,2,pizza,0
171,4.5,2,mediterranean,0
99,4.5,2,breakfast_brunch,0
935,4.5,3,tradamerican,0
1600,4.5,2,pizza,0
60,5.0,2,panasian,0
1129,4.5,3,greek,0
130,4.5,2,wine_bars,0
305,4.5,1,donuts,0
805,4.5,2,southern,0
553,4.5,2,italian,0
974,4.5,1,breakfast_brunch,0
151,4.5,1,cafes,0
484,4.5,3,greek,0
452,4.5,2,gastropubs,0
299,4.5,2,shanghainese,0
92,4.5,2,indpak,0
536,4.5,2,pubs,0
739,4.5,1,bakeries,0
87,4.5,2,tapas,0
196,4.5,2,halal,0
82,4.5,2,argentine,0
2394,4.0,1,mideastern,0
254,4.5,2,pubs,0
114,4.5,2,thai,0
1102,4.5,2,australian,0
405,4.5,1,indpak,0
630,4.5,2,vietnamese,0
123,4.5,2,seafood,0
188,4.5,1,vegetarian,0
506,4.5,3,greek,0
369,4.5,2,newamerican,0
462,4.5,2,japanese,0
163,4.5,2,korean,0
333,4.5,2,mediterranean,0
516,4.5,2,sushi,0
326,4.5,2,mexican,0
78,4.5,3,cocktailbars,0
78,4.5,2,whiskeybars,0
627,4.5,1,sandwiches,0
414,4.5,2,cafes,0
1397,4.5,4,japanese,0
66,4.5,3,french,0
59,4.5,1,catering,0
279,4.5,4,italian,0
458,4.5,1,foodtrucks,0
192,4.5,1,coffee,0
525,4.5,2,pizza,0
416,4.5,2,juicebars,0
114,4.5,1,delis,0
36,5.0,2,vegan,0
117,4.5,4,italian,0
392,4.5,2,szechuan,0
313,4.5,2,cuban,0
92,4.5,2,pastashops,0
495,4.5,2,cocktailbars,0
291,4.5,2,newamerican,0
79,4.5,1,coffee,0
531,4.5,2,newamerican,0
1255,4.5,2,pizza,0
2019,4.0,1,pizza,0
1461,4.0,1,bagels,0
